,SITE_NAME,BIAS_LSTM,BIAS_CLSTM,KGE_LSTM,KGE_CLSTM,R_LSTM,R_CLSTM,BETA_LSTM,BETA_CLSTM,GAMMA_LSTM,GAMMA_CLSTM,R2_LSTM,R2_CLSTM,RMSE_LSTM,RMSE_CLSTM,MAPE_LSTM,MAPE_CLSTM
22,BR-Sa3,-0.48648681053161624,1.4540398465728828,0.36287702700460756,0.5107995672953549,0.4817711737421772,0.5671759711608649,1.013467076065758,0.959748826088333,0.6296174893219633,0.7755890679654747,0.193934664990006,0.16762643620686302,3.727370462114025,3.7877087415201043,8.69669728181349,8.771898550681865
23,IT-CA2,0.7308735537719713,-0.15624559638976976,-0.41853685116548056,-0.04903517706232585,-0.34983954469778744,0.09421299255469986,0.9563814346263628,1.0093247439660356,0.566090536587076,0.4709085627158182,-0.6928022924291783,-0.13730543087335323,6.580067915628145,5.393439524306395,33.35275065359204,28.209333108797612
24,US-Whs,0.05159177948951754,0.5638681152057652,0.3865371275344549,0.4574655511933403,0.41816462496181717,0.6350923088328055,0.9841464354557189,0.8267297688250314,0.8062141472163278,0.6378350761634329,0.033824425606937325,0.3665175441628431,3.4908063324753678,2.8266043564009595,inf,inf
25,AU-Stp,-1.0374572768211356,-1.5214722588062282,0.5420273951862131,0.5328863984721444,0.6423140410521287,0.7189331972555109,1.139729590467172,1.2049189883573492,0.7504497984786566,0.6882231930724878,0.34481126163657316,0.456541866043236,5.6122562770463045,5.111370109811187,66.7855081495562,74.76513814610986
26,AU-Wac,-2.0930657768249503,0.6886520481109635,0.5623284644338465,0.5760034484876535,0.5993188168689337,0.7589918687509677,1.066367523640902,0.9781640254265251,0.8368855790087891,1.348154199429847,-0.6826490082289356,0.15929792266863807,2.776956203418862,1.9628780733702698,7.715891991397516,4.922542027156604
27,IT-SRo,7.5629164546897165,5.840237866169318,0.43515410495600515,0.48127348693591154,0.7879104830009664,0.7925732070682316,0.7195041244182802,0.783395381439013,0.5579694742341739,0.5767580359324957,0.18186577870699805,0.33937402277034023,12.711788134598637,11.42278993052954,30.284649128481988,21.56071119979588
28,FI-Sod,0.21910482097332462,0.5110176194880562,0.5916705790621157,0.6600654696486365,0.6125036741991446,0.6718926023036852,0.9750771811413826,0.9418725726458878,1.1263264287251316,1.0672474734941526,0.1368140210944946,0.3273258710705108,4.162044004594479,3.674149650976889,57.931493880716346,44.79576248237537
29,AU-Gin,-0.016369816617966215,-0.09038798983574026,0.6113250366931484,0.6043662045478135,0.6898799894851068,0.6150835475404289,1.0031004644343136,1.0171196021504132,0.7657262428266528,0.9101537760835053,0.46940788013814305,0.26938115227155635,0.5902603124894188,0.692641679111558,8.928731295796878,11.071169822989832
30,US-NR1,0.31084361693700124,0.9963255149269106,0.5286339788920966,0.593909437347371,0.7476329451361466,0.7357888201637809,0.9761400648070434,0.9235234023735377,0.602599070248912,0.7012470459718229,0.5324778974829671,0.522669973104985,6.512851986401623,6.580812424864666,30.437972496501718,28.066696020222427
31,DE-Lkb,-2.6171627745056156,-3.7339470673624717,-0.31414474347603494,0.049095839391389395,0.022934484103592865,0.40966158971858596,1.0803047311438487,1.114572016028521,0.12485970575701644,0.26339119123354243,-0.09839116921528301,-0.021490938836482565,9.332389353708878,8.999773768906229,30.650974378759628,29.709912772127073
